position_code,area,department,position,degree,major,number_of_recruits,number_of_applicants
160166,安庆,望江县乡镇（财政分局）机关,财政管理,本科,财政学专业、金融学专业、会计学专业、财务管理专业,2,19
160167,安庆,望江县长岭镇,人武专干,专科,不限,1,8
160168,安庆,望江县乡镇（街道）机关,机关综合,专科,不限,5,248
160169,安庆,望江县乡镇（街道）机关,村镇建设管理,本科,不限,4,17
160170,安庆,望江县乡镇（街道）机关,电商营销,本科,不限,5,53
160171,安庆,望江县乡镇（街道）机关,项目建设管理,本科,不限,4,61
160172,安庆,望江县吉水街道机关,城镇建设管理,高中（中专）,不限,1,0
160173,安庆,迎江区司法局,司法复议管理,本科,不限,2,23
160174,安庆,宜秀区司法局,司法行政1,本科,法学门类,1,8
160175,安庆,宜秀区司法局,司法行政2,本科,法学门类,1,7
160176,安庆,宜秀区乡镇机关,行政管理,本科,不限,2,16
160177,安庆,宜秀区乡镇机关,财务管理,本科,金融学类、财政学类、会计学专业、财务管理专业,3,109
160178,安庆,宜秀区大龙山镇,项目建设管理,本科,土木类、建筑类,1,52
160179,安庆,宜秀区乡镇（街道）机关,机关综合,本科,中国语言文学类、法学专业、新闻学专业,2,35
160180,安庆,宜秀区白泽湖乡,财务管理,本科,会计学专业、财务管理专业、审计学专业、财政学专业,1,19
160181,安庆,宜秀区五横乡,农林建设,本科,农业工程类、林学类、农学专业、农艺教育专业、农业资源与环境专业,1,18
160182,安庆,宜秀区罗岭镇,综合文字,本科,政治学类、马克思主义理论类、汉语言文学专业、新闻学专业,1,16
160183,安庆,安庆市中级人民法院,法官助理,本科,法学类,5,53
160184,安庆,安庆市中级人民法院,司法行政人员,本科,计算机类,2,75
160185,安庆,桐城市人民法院,司法行政人员,本科,不限,1,4
160186,安庆,桐城市人民法院,法官助理,本科,法学类,5,17
160187,安庆,怀宁县人民法院,法官助理,本科,法学类,1,2
160188,安庆,怀宁县人民法院,司法行政人员,本科,图书情报与档案管理类,1,9
160189,安庆,潜山市人民法院,法官助理1,本科,法学类,1,2
160190,安庆,潜山市人民法院,法官助理2,本科,法学类,3,4
160191,安庆,潜山市人民法院,司法警察,本科,不限,1,25
160192,安庆,岳西县人民法院,司法行政人员,本科,不限,1,6
160193,安庆,岳西县人民法院,法官助理,本科,法学类,3,6
160194,安庆,岳西县人民法院,司法警察,本科,公安学类、法学类、体育学类,1,11
160195,安庆,太湖县人民法院,法官助理1,本科,法学类,1,6
160196,安庆,太湖县人民法院,法官助理2,本科,法学类,1,0
160197,安庆,望江县人民法院,司法行政人员,本科,不限,1,4
160198,安庆,望江县人民法院,法官助理1,本科,法学类,1,0
160199,安庆,望江县人民法院,法官助理2,本科,法学类,4,7
160200,安庆,望江县人民法院,司法警察,本科,不限,1,13
160201,安庆,迎江区人民法院,司法行政人员,本科,不限,1,19
160202,安庆,迎江区人民法院,法官助理1,本科,法学类,1,5
160203,安庆,迎江区人民法院,法官助理2,本科,法学类,3,21
160204,安庆,大观区人民法院,法官助理1,本科,法学类,1,1
160205,安庆,大观区人民法院,法官助理2,本科,法学类,1,1
160206,安庆,宿松县人民法院,法官助理,本科,法学类,3,7
160207,安庆,宿松县人民法院,司法行政人员1,本科,计算机类,1,19
160208,安庆,宿松县人民法院,司法行政人员2,本科,中国语言文学类、新闻传播学类,1,15
160209,安庆,桐城市人民检察院,检察官助理1,本科,法学类（不含特设专业）,2,5
160210,安庆,桐城市人民检察院,检察官助理2,本科,法学类（不含特设专业）,1,3
160211,安庆,怀宁县人民检察院,司法行政人员1,本科,会计学专业、审计学专业、财务管理专业,1,13
160212,安庆,怀宁县人民检察院,司法行政人员2,本科,计算机科学与技术专业、网络工程专业、信息安全专业,1,19
160213,安庆,岳西县人民检察院,检察官助理1,本科,法学类（不含特设专业）,1,2
